"_time",host,totalCPUTime
"2019-04-02T04:00:00.000+0000","eu16-app1-1-fra.ops.sfdc.net",507122
"2019-04-02T04:00:00.000+0000","eu16-app1-10-fra.ops.sfdc.net",1274076
"2019-04-02T04:00:00.000+0000","eu16-app1-11-fra.ops.sfdc.net",541366
"2019-04-02T04:00:00.000+0000","eu16-app1-12-fra.ops.sfdc.net",1473492
"2019-04-02T04:00:00.000+0000","eu16-app1-13-fra.ops.sfdc.net",1482424
"2019-04-02T04:00:00.000+0000","eu16-app1-14-fra.ops.sfdc.net",1311037
"2019-04-02T04:00:00.000+0000","eu16-app1-15-fra.ops.sfdc.net",1160938
"2019-04-02T04:00:00.000+0000","eu16-app1-16-fra.ops.sfdc.net",1211987
"2019-04-02T04:00:00.000+0000","eu16-app1-17-fra.ops.sfdc.net",770366
"2019-04-02T04:00:00.000+0000","eu16-app1-18-fra.ops.sfdc.net",890937
"2019-04-02T04:00:00.000+0000","eu16-app1-19-fra.ops.sfdc.net",643378
"2019-04-02T04:00:00.000+0000","eu16-app1-2-fra.ops.sfdc.net",1089818
"2019-04-02T04:00:00.000+0000","eu16-app1-20-fra.ops.sfdc.net",1236483
"2019-04-02T04:00:00.000+0000","eu16-app1-21-fra.ops.sfdc.net",1097534
"2019-04-02T04:00:00.000+0000","eu16-app1-22-fra.ops.sfdc.net","-6"
"2019-04-02T04:00:00.000+0000","eu16-app1-23-fra.ops.sfdc.net",2754
"2019-04-02T04:00:00.000+0000","eu16-app1-24-fra.ops.sfdc.net",2699
"2019-04-02T04:00:00.000+0000","eu16-app1-25-fra.ops.sfdc.net",1574173
"2019-04-02T04:00:00.000+0000","eu16-app1-26-fra.ops.sfdc.net",1688886
"2019-04-02T04:00:00.000+0000","eu16-app1-27-fra.ops.sfdc.net",927872
"2019-04-02T04:00:00.000+0000","eu16-app1-28-fra.ops.sfdc.net",1389987
"2019-04-02T04:00:00.000+0000","eu16-app1-29-fra.ops.sfdc.net",733430
"2019-04-02T04:00:00.000+0000","eu16-app1-3-fra.ops.sfdc.net",1510033
"2019-04-02T04:00:00.000+0000","eu16-app1-30-fra.ops.sfdc.net","-2"
"2019-04-02T04:00:00.000+0000","eu16-app1-4-fra.ops.sfdc.net",973712
"2019-04-02T04:00:00.000+0000","eu16-app1-5-fra.ops.sfdc.net",1259115
"2019-04-02T04:00:00.000+0000","eu16-app1-6-fra.ops.sfdc.net",581787
"2019-04-02T04:00:00.000+0000","eu16-app1-7-fra.ops.sfdc.net",1201635
"2019-04-02T04:00:00.000+0000","eu16-app1-8-fra.ops.sfdc.net",717873
"2019-04-02T04:00:00.000+0000","eu16-app1-9-fra.ops.sfdc.net",535732
"2019-04-02T04:00:00.000+0000","eu16-app2-1-fra.ops.sfdc.net",1448876
"2019-04-02T04:00:00.000+0000","eu16-app2-10-fra.ops.sfdc.net",216788
"2019-04-02T04:00:00.000+0000","eu16-app2-11-fra.ops.sfdc.net",1351299
"2019-04-02T04:00:00.000+0000","eu16-app2-12-fra.ops.sfdc.net",918071
