"_time",host,totalCPUTime,"num_user",count
"2019-05-08T00:00:00.000+0000","na40-app1-1-dfw.ops.sfdc.net",670430,400,6265
"2019-05-08T00:00:00.000+0000","na40-app1-10-dfw.ops.sfdc.net",509718,409,5594
"2019-05-08T00:00:00.000+0000","na40-app1-11-dfw.ops.sfdc.net",585609,404,5129
"2019-05-08T00:00:00.000+0000","na40-app1-12-dfw.ops.sfdc.net",191180,350,2015
"2019-05-08T00:00:00.000+0000","na40-app1-13-dfw.ops.sfdc.net",612658,433,5966
"2019-05-08T00:00:00.000+0000","na40-app1-14-dfw.ops.sfdc.net",641778,405,5885
"2019-05-08T00:00:00.000+0000","na40-app1-15-dfw.ops.sfdc.net",441447,401,4338
"2019-05-08T00:00:00.000+0000","na40-app1-16-dfw.ops.sfdc.net",524495,415,5324
"2019-05-08T00:00:00.000+0000","na40-app1-17-dfw.ops.sfdc.net",471365,388,4613
"2019-05-08T00:00:00.000+0000","na40-app1-18-dfw.ops.sfdc.net",556267,403,5273
"2019-05-08T00:00:00.000+0000","na40-app1-19-dfw.ops.sfdc.net",526309,422,5523
"2019-05-08T00:00:00.000+0000","na40-app1-2-dfw.ops.sfdc.net",508244,416,4950
"2019-05-08T00:00:00.000+0000","na40-app1-20-dfw.ops.sfdc.net",433820,421,4516
"2019-05-08T00:00:00.000+0000","na40-app1-21-dfw.ops.sfdc.net",722280,395,6696
"2019-05-08T00:00:00.000+0000","na40-app1-22-dfw.ops.sfdc.net",471639,439,5112
"2019-05-08T00:00:00.000+0000","na40-app1-23-dfw.ops.sfdc.net",465941,436,4789
"2019-05-08T00:00:00.000+0000","na40-app1-24-dfw.ops.sfdc.net",535152,389,5150
"2019-05-08T00:00:00.000+0000","na40-app1-25-dfw.ops.sfdc.net",543242,446,5531
"2019-05-08T00:00:00.000+0000","na40-app1-26-dfw.ops.sfdc.net",449937,407,4702
"2019-05-08T00:00:00.000+0000","na40-app1-27-dfw.ops.sfdc.net",467034,412,4951
"2019-05-08T00:00:00.000+0000","na40-app1-28-dfw.ops.sfdc.net",411736,427,4098
"2019-05-08T00:00:00.000+0000","na40-app1-29-dfw.ops.sfdc.net",508898,420,5435
"2019-05-08T00:00:00.000+0000","na40-app1-30-dfw.ops.sfdc.net",480665,428,4975
"2019-05-08T00:00:00.000+0000","na40-app1-4-dfw.ops.sfdc.net",587448,404,5382
"2019-05-08T00:00:00.000+0000","na40-app1-5-dfw.ops.sfdc.net",553111,410,5166
"2019-05-08T00:00:00.000+0000","na40-app1-6-dfw.ops.sfdc.net",456909,423,5095
"2019-05-08T00:00:00.000+0000","na40-app1-7-dfw.ops.sfdc.net",455570,401,5054
"2019-05-08T00:00:00.000+0000","na40-app1-8-dfw.ops.sfdc.net",596909,426,5449
"2019-05-08T00:00:00.000+0000","na40-app1-9-dfw.ops.sfdc.net",785337,411,7093
"2019-05-08T00:00:00.000+0000","na40-app2-1-dfw.ops.sfdc.net",548893,411,5231
"2019-05-08T00:00:00.000+0000","na40-app2-10-dfw.ops.sfdc.net",616438,417,5537
"2019-05-08T00:00:00.000+0000","na40-app2-11-dfw.ops.sfdc.net",531600,430,4932
"2019-05-08T00:00:00.000+0000","na40-app2-12-dfw.ops.sfdc.net",637625,400,6004
"2019-05-08T00:00:00.000+0000","na40-app2-13-dfw.ops.sfdc.net",453873,410,4010
"2019-05-08T00:00:00.000+0000","na40-app2-14-dfw.ops.sfdc.net",884319,422,8007
"2019-05-08T00:00:00.000+0000","na40-app2-15-dfw.ops.sfdc.net",527379,411,4586
"2019-05-08T00:00:00.000+0000","na40-app2-16-dfw.ops.sfdc.net",402245,411,3975
"2019-05-08T00:00:00.000+0000","na40-app2-18-dfw.ops.sfdc.net",449161,432,4423
"2019-05-08T00:00:00.000+0000","na40-app2-19-dfw.ops.sfdc.net",428647,386,4395
"2019-05-08T00:00:00.000+0000","na40-app2-2-dfw.ops.sfdc.net",512865,404,4778
"2019-05-08T00:00:00.000+0000","na40-app2-20-dfw.ops.sfdc.net",541379,404,5470
"2019-05-08T00:00:00.000+0000","na40-app2-21-dfw.ops.sfdc.net",656350,433,6475
"2019-05-08T00:00:00.000+0000","na40-app2-22-dfw.ops.sfdc.net",335987,382,3466
"2019-05-08T00:00:00.000+0000","na40-app2-23-dfw.ops.sfdc.net",667756,408,6556
"2019-05-08T00:00:00.000+0000","na40-app2-24-dfw.ops.sfdc.net",509927,390,5180
"2019-05-08T00:00:00.000+0000","na40-app2-25-dfw.ops.sfdc.net",715364,410,7344
"2019-05-08T00:00:00.000+0000","na40-app2-26-dfw.ops.sfdc.net",524343,424,5545
"2019-05-08T00:00:00.000+0000","na40-app2-27-dfw.ops.sfdc.net",525990,411,4942
"2019-05-08T00:00:00.000+0000","na40-app2-30-dfw.ops.sfdc.net",425402,415,4791
"2019-05-08T00:00:00.000+0000","na40-app2-5-dfw.ops.sfdc.net",483762,399,4579
"2019-05-08T00:00:00.000+0000","na40-app2-6-dfw.ops.sfdc.net",718155,419,6218
"2019-05-08T00:00:00.000+0000","na40-app2-7-dfw.ops.sfdc.net",640699,424,6053
"2019-05-08T00:00:00.000+0000","na40-app2-8-dfw.ops.sfdc.net",687624,455,5988
"2019-05-08T00:00:00.000+0000","na40-app2-9-dfw.ops.sfdc.net",249903,359,2289
"2019-05-08T00:10:00.000+0000","na40-app1-1-dfw.ops.sfdc.net",634253,369,5697
"2019-05-08T00:10:00.000+0000","na40-app1-10-dfw.ops.sfdc.net",507956,370,5626
"2019-05-08T00:10:00.000+0000","na40-app1-11-dfw.ops.sfdc.net",373851,351,3729
"2019-05-08T00:10:00.000+0000","na40-app1-12-dfw.ops.sfdc.net",212169,333,2133
"2019-05-08T00:10:00.000+0000","na40-app1-13-dfw.ops.sfdc.net",513133,374,5236
"2019-05-08T00:10:00.000+0000","na40-app1-14-dfw.ops.sfdc.net",536547,357,4869
"2019-05-08T00:10:00.000+0000","na40-app1-15-dfw.ops.sfdc.net",357189,367,3539
"2019-05-08T00:10:00.000+0000","na40-app1-16-dfw.ops.sfdc.net",408493,375,4148
"2019-05-08T00:10:00.000+0000","na40-app1-17-dfw.ops.sfdc.net",299078,356,3004
"2019-05-08T00:10:00.000+0000","na40-app1-18-dfw.ops.sfdc.net",403608,359,3962
"2019-05-08T00:10:00.000+0000","na40-app1-19-dfw.ops.sfdc.net",458207,380,4793
"2019-05-08T00:10:00.000+0000","na40-app1-2-dfw.ops.sfdc.net",520664,363,4904
"2019-05-08T00:10:00.000+0000","na40-app1-20-dfw.ops.sfdc.net",350026,342,3815
"2019-05-08T00:10:00.000+0000","na40-app1-21-dfw.ops.sfdc.net",488430,352,4737
"2019-05-08T00:10:00.000+0000","na40-app1-22-dfw.ops.sfdc.net",441580,361,4797
"2019-05-08T00:10:00.000+0000","na40-app1-23-dfw.ops.sfdc.net",319533,331,3100
"2019-05-08T00:10:00.000+0000","na40-app1-24-dfw.ops.sfdc.net",170613,193,1848
"2019-05-08T00:10:00.000+0000","na40-app1-25-dfw.ops.sfdc.net",447147,383,4462
"2019-05-08T00:10:00.000+0000","na40-app1-26-dfw.ops.sfdc.net",368120,367,3992
"2019-05-08T00:10:00.000+0000","na40-app1-27-dfw.ops.sfdc.net",430182,381,4604
"2019-05-08T00:10:00.000+0000","na40-app1-28-dfw.ops.sfdc.net",340731,361,3550
"2019-05-08T00:10:00.000+0000","na40-app1-29-dfw.ops.sfdc.net",463079,363,5136
"2019-05-08T00:10:00.000+0000","na40-app1-30-dfw.ops.sfdc.net",314438,370,3268
"2019-05-08T00:10:00.000+0000","na40-app1-4-dfw.ops.sfdc.net",660087,379,6045
"2019-05-08T00:10:00.000+0000","na40-app1-5-dfw.ops.sfdc.net",413107,359,3979
"2019-05-08T00:10:00.000+0000","na40-app1-6-dfw.ops.sfdc.net",507949,364,5547
"2019-05-08T00:10:00.000+0000","na40-app1-7-dfw.ops.sfdc.net",469911,340,4956
"2019-05-08T00:10:00.000+0000","na40-app1-8-dfw.ops.sfdc.net",295981,340,2967
"2019-05-08T00:10:00.000+0000","na40-app1-9-dfw.ops.sfdc.net",772899,359,7698
"2019-05-08T00:10:00.000+0000","na40-app2-1-dfw.ops.sfdc.net",544858,342,5150
"2019-05-08T00:10:00.000+0000","na40-app2-10-dfw.ops.sfdc.net",590660,350,5346
"2019-05-08T00:10:00.000+0000","na40-app2-11-dfw.ops.sfdc.net",381775,376,3759
"2019-05-08T00:10:00.000+0000","na40-app2-12-dfw.ops.sfdc.net",594813,356,5329
"2019-05-08T00:10:00.000+0000","na40-app2-13-dfw.ops.sfdc.net",344325,356,3302
"2019-05-08T00:10:00.000+0000","na40-app2-14-dfw.ops.sfdc.net",546871,350,5250
"2019-05-08T00:10:00.000+0000","na40-app2-15-dfw.ops.sfdc.net",371328,329,3329
"2019-05-08T00:10:00.000+0000","na40-app2-16-dfw.ops.sfdc.net",386070,371,3868
"2019-05-08T00:10:00.000+0000","na40-app2-18-dfw.ops.sfdc.net",297191,315,3314
"2019-05-08T00:10:00.000+0000","na40-app2-19-dfw.ops.sfdc.net",471511,317,5030
"2019-05-08T00:10:00.000+0000","na40-app2-2-dfw.ops.sfdc.net",432677,349,4162
"2019-05-08T00:10:00.000+0000","na40-app2-20-dfw.ops.sfdc.net",453862,321,4679
"2019-05-08T00:10:00.000+0000","na40-app2-21-dfw.ops.sfdc.net",600958,376,6167
"2019-05-08T00:10:00.000+0000","na40-app2-22-dfw.ops.sfdc.net",397952,357,4236
"2019-05-08T00:10:00.000+0000","na40-app2-23-dfw.ops.sfdc.net",665436,357,6899
"2019-05-08T00:10:00.000+0000","na40-app2-24-dfw.ops.sfdc.net",414529,337,4226
"2019-05-08T00:10:00.000+0000","na40-app2-25-dfw.ops.sfdc.net",533479,336,5424
"2019-05-08T00:10:00.000+0000","na40-app2-26-dfw.ops.sfdc.net",404117,351,4063
"2019-05-08T00:10:00.000+0000","na40-app2-27-dfw.ops.sfdc.net",388807,327,3977
"2019-05-08T00:10:00.000+0000","na40-app2-30-dfw.ops.sfdc.net",355880,351,3703
"2019-05-08T00:10:00.000+0000","na40-app2-5-dfw.ops.sfdc.net",397410,340,3597
"2019-05-08T00:10:00.000+0000","na40-app2-6-dfw.ops.sfdc.net",521817,348,4687
"2019-05-08T00:10:00.000+0000","na40-app2-7-dfw.ops.sfdc.net",642466,386,6238
"2019-05-08T00:10:00.000+0000","na40-app2-8-dfw.ops.sfdc.net",481182,336,4406
"2019-05-08T00:10:00.000+0000","na40-app2-9-dfw.ops.sfdc.net",353198,342,3085
"2019-05-08T00:20:00.000+0000","na40-app1-1-dfw.ops.sfdc.net",462139,324,4079
"2019-05-08T00:20:00.000+0000","na40-app1-10-dfw.ops.sfdc.net",381912,325,4026
"2019-05-08T00:20:00.000+0000","na40-app1-11-dfw.ops.sfdc.net",457536,328,3980
"2019-05-08T00:20:00.000+0000","na40-app1-12-dfw.ops.sfdc.net",279365,258,2490
"2019-05-08T00:20:00.000+0000","na40-app1-13-dfw.ops.sfdc.net",377947,315,3626
"2019-05-08T00:20:00.000+0000","na40-app1-14-dfw.ops.sfdc.net",349127,338,3212
"2019-05-08T00:20:00.000+0000","na40-app1-15-dfw.ops.sfdc.net",416801,299,3998
"2019-05-08T00:20:00.000+0000","na40-app1-16-dfw.ops.sfdc.net",452945,346,4325
"2019-05-08T00:20:00.000+0000","na40-app1-17-dfw.ops.sfdc.net",322711,300,3014
"2019-05-08T00:20:00.000+0000","na40-app1-18-dfw.ops.sfdc.net",493668,314,4465
"2019-05-08T00:20:00.000+0000","na40-app1-19-dfw.ops.sfdc.net",537203,313,5271
"2019-05-08T00:20:00.000+0000","na40-app1-2-dfw.ops.sfdc.net",511022,319,4531
"2019-05-08T00:20:00.000+0000","na40-app1-20-dfw.ops.sfdc.net",305217,333,2796
